Room / Area,Item,Notes,Min Quantity per home,Min Quantity per Bedroom,Min Quantity per Bath,Quantity per window,Required,tenant_types,climate_zones,Affiliate URL,Cost,Cost Each,Number in Pkg,Required Cost,Optional Cost
Bedroom,Queen or full bed frame,"Metal frame, fast setup under 10 min, no tools. 200+ in service with zero structural failures. Avoid wood slat frames break under heavy turnover.",,1,,,Yes,,,https://amzn.to/4vhvvZb,$98.10 ,$98.10 ,1,$98.10,
Bedroom,Mattress,Box-in-a-box style for easy transport into small/upstairs rooms. Foam design minimizes noise. Multiple in service with no comfort complaints.,,1,,,Yes,,,https://amzn.to/3NVrx7Z,$210.00 ,$210.00 ,1,$210.00,
Bedroom,Mattress protector,"Full encapsulation style -  protects against spills, stains, and bed bugs. Essential in co-living where turnover is high.",,1,,,Yes,,,https://amzn.to/3PXHATn,$160.00 ,$16.00 ,10,$16.00,
Bedroom,Pillow set (2),"Standard, 20x28",,1,,,Yes,,,https://amzn.to/4tbX6K8,$29.00 ,$14.50 ,2,$14.50,
Bedroom,Pillow set (2),Pillow protectors,,1,,,Yes,,,https://amzn.to/41YWJX3,$16.00 ,$4.00 ,4,$4.00,
Bedroom,Bedding set (sheets + duvet),"Neutral color, commercial-grade preferred",,2,,,Yes,,,https://amzn.to/4effkWf,$42.00 ,$42.00 ,1,$42.00,
Bedroom,Dresser / chest of drawers,"Pair with hanger bar for full storage. Do NOT use fabric wardrobes, they collapse quickly and create negative tenant experience.",,1,,,Yes,,,https://amzn.to/4t32SNR,$20.00 ,$20.00 ,1,$20.00,
Bedroom,Nightstand,Tall enough to pair with platform beds. Built-in outlets reduce extension cord mess and tenant clutter.,,1,,,Yes,,,https://amzn.to/3Qzap8F,$90.00 ,$45.00 ,2,$45.00,
Bedroom,Bedside lamp,Model with built-in outlets doubles as lighting and charging station. Get long-cord option for flexible placement.,,1,,,Yes,,,https://amzn.to/4vmFOLC,$27.00 ,$13.50 ,2,$13.50,
Bedroom,Clothes hanger / closet organizer,"Free standing. Lightweight but durable extends dresser utility in rooms without closets. Laundry, rear entry, bedroom",,1,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4c4SfEj,$80.00 ,$80.00 ,1,,$80.00 
